country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",06-04-2025 14:00:00,20.555712,74.529236,NO2,9.0,106.0,29.0
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",06-04-2025 14:00:00,19.296481,72.840923,PM10,41.0,93.0,61.0
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",06-04-2025 14:00:00,19.296481,72.840923,NH3,2.0,6.0,4.0
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",06-04-2025 14:00:00,19.296481,72.840923,SO2,1.0,6.0,2.0
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",06-04-2025 14:00:00,19.065931,72.862131,NH3,6.0,13.0,10.0
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",06-04-2025 14:00:00,19.065931,72.862131,CO,9.0,56.0,38.0
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",06-04-2025 14:00:00,19.065931,72.862131,OZONE,3.0,57.0,30.0
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",06-04-2025 14:00:00,19.25292,73.142019,PM2.5,52.0,97.0,74.0
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",06-04-2025 14:00:00,19.25292,73.142019,NO2,5.0,13.0,7.0
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",06-04-2025 14:00:00,19.192056,72.9585188,PM10,53.0,90.0,72.0
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",06-04-2025 14:00:00,16.6870449,74.2505872,PM2.5,22.0,51.0,34.0
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",06-04-2025 14:00:00,16.7143745,74.2426398,PM2.5,36.0,69.0,48.0
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",06-04-2025 14:00:00,16.7143745,74.2426398,NO2,7.0,40.0,16.0
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",06-04-2025 14:00:00,16.7143745,74.2426398,NH3,23.428571428571427,87.67038007863695,48.31651376146789
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB",06-04-2025 14:00:00,16.7143745,74.2426398,SO2,1.0,3.0,1.0
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB",06-04-2025 14:00:00,18.39963,76.57452,NO2,18.0,215.0,76.0
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB",06-04-2025 14:00:00,19.9775302,79.2337086,PM10,74.0,172.0,128.0
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB",06-04-2025 14:00:00,20.918946,74.776388,PM10,67.0,124.0,91.0
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",06-04-2025 14:00:00,21.001264,75.565602,SO2,27.0,39.0,33.0
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",06-04-2025 14:00:00,19.854616,75.905894,PM2.5,57.0,119.0,79.0
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",06-04-2025 14:00:00,19.854616,75.905894,PM10,88.0,136.0,110.0
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",06-04-2025 14:00:00,19.2243333,72.8658113,NO2,10.0,74.0,27.0
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",06-04-2025 14:00:00,19.2243333,72.8658113,NH3,1.0,5.0,3.0
